id,name,group_id
487,Filtrierende Halbmasken FFP2,69
488,Mund-Nasen-Masken,69
489,Mund-Nasen-Maske,69
490,Filtrierende Halbmasken FFP3,69
491,Community-Maske,69
492,VGA-Switch,70
493,DVI-Switch,70
494,VGA-Matrix-Switch,70
495,Audio / Video Matrix-Switch,70
496,Fotobox,71
497,Zeichenbox,71
498,Hängeaufbewahrung,71
499,Feuchttücherbox,71
500,Uhrenbox,71
501,Kiste,71
502,Spielzeugtruhe,71
503,Allzweckkorb,71
504,Drahtkorb,71
505,Badorganizer,71
506,Regalkorb,71
507,Geschenkbox,71
508,Schmuckkasten,71
509,Angelkoffer,71
510,Stapelbox,71
511,Uhrenetui,71
512,Picknickkorb,71
513,Schuhbox,71
514,Flechtkorb,71
515,Nähkorb,71
516,Gerätebox,71
517,Mülltonnenbox,71
518,Kleinteilemagazin,71
519,Werkzeugbox,71
520,Papiertuchbox,71
521,Kaminholzkorb,71
522,Zettelkasten,71
523,Aufbewahrungsdose,71
524,Organizer,71
525,Schuhkiste,71
526,Allzweckkiste,71
527,Geldkassette,71
528,Weinkiste,71
529,Dekokiste,71
530,Einhängekorb,71
531,Werkzeugkoffer,71
532,Schatzkiste,71
533,Dose,71
534,Duschkorb,71
535,Zeichenkasten,71
536,Sammelkoffer,71
537,Schmuckrolle,71
538,Holzkiste,71
539,Schmuckständer,71
540,Ballkorb,71
541,Archivcontainer,71
542,Schmuckkoffer,71
543,Schmuckkassette,71
544,Pillendose,71
545,Sitzkiepe,71
546,Karteibox,71
547,Sammleretui,71
548,Pumpenhaus,71
549,Nähkästchen,71
550,Holztragetasche,71
551,Auflagenbox,71
552,Hängekorb,71
553,Münzetui,71
554,Anhänger-Deichselbox,71
555,Häkelkorb,71
556,Fahrradbox,71
557,Uhrenrolle,71
558,Dekoablage,71
559,Kosmetikbox,71
560,Faltbox,71
561,Rollladenbox,71
562,Handtuchkorb,71
563,Unterbettkommode,71
564,Setzkasten,71
565,Schmucketui,71
566,Werkzeugtrolley,71
567,Gartenbox,71
568,Sortimentskasten,71
569,Aufbewahrungskorb,71
570,Kartoffelkiste,71
571,Karteikasten,71
572,Treppenkorb,71
573,Kissenbox,71
574,Dekokorb,71
575,Zahndose,71
576,Schmuckablage,71
577,Aufbewahrungsbox,71
578,Schmuckbaum,71
579,Batteriebox,71
580,Hängeregistraturbox,71
581,Insektenbox,71
582,Putzbox,71
583,Putztasche,71
584,Aufblasbares Musikinstrument,72
585,Aufblasbares Spielhaus,72
586,Aufblasbare Trampolininsel,72
587,Aufblasbarer Cooler,72
588,Aufblasbares Bällebad,72
589,Aufblasbares Essen,72
590,Aufblasbares Werkzeug,72
591,Aufblasbares Partyzubehör,72
592,Aufblasbares Rodeo,72
593,Schwimmtier,72
594,Schwimminsel,72
595,Schwimmsessel,72
596,Aufblasbares Fußballtor,72
597,Kinder-Schlauchboot,72
598,aufblasbare Whirlpoolabdeckung,72
599,Aufblasbare Schwimmfigur,72
600,Spiel-Schlagsack,72
601,Whirlpool-Sitzbank,72
602,Resteschale,73
603,Fangkorb,73
604,Gartensack,73
605,Ölauffangwanne,73
606,Fangsack,73
607,Resttintenbehälter,73
608,Spänewanne,74
609,Tropfschale,74
610,Schöpfkelle,75
611,Aufgusskonzentrat,76
612,Sauna-Aufgussset,77
613,Aufgusstopf,78
614,Aufgusskübel,78
615,Felgenaufkleber,79
616,Aufkleber,79
617,Zierleisten-Aufkleber,79
618,Filzapplikation,79
619,Reflektor-Aufkleber,79
620,Lochverstärker,79
621,Laptop-Aufkleber,79
622,Auflaufform,80
623,Portionsförmchen,80
624,Soufflée-Form,80
625,Digitales Aufnahmegerät,81
626,Gameplay-Aufnahmegerät,81
627,Analoges Diktiergerät,81
628,USB-Recorder,81
629,Digitales Diktiergerät,81
630,Netzwerk-Videorecorder,81
631,Aufnahmetisch,82
632,Aufnäher,83
633,Klett-Patch,83
634,Schulranzen-Patch,83
635,Ballsammelröhre,84
636,Laubpicker,84
637,Ballangel,84
638,Laubgreifer,84
639,Schneckengreifer,84
640,Punktvisieraufsatz,85
641,Aufstecksucher,85
642,Lidschatten-Palette,86
643,Wimpern-Primer,86
644,Lidschatten-Primer,86
645,Puder-Eyeliner,86
646,Mascara-Primer,86
647,Augenbrauen-Puder,86
648,Mascara-Set,86
649,Augenbrauen-Gel,86
650,Lidschatten,86
651,Augenbrauen-Farbe,86
652,Augenbrauen-Kosmetika,86
653,Eyeliner,86
654,Kajal,86
655,Augen-Make-Up-Set,86
656,Augenbrauen-Stift,86
657,Lidschatten-Base,86
658,Mascara,86
659,Wimpernlifting-Set,86
660,Schlafmaske,87
661,Augenbinde,87
662,Augenmuschel,88
663,Augengel,89
664,Wimpernpflege-Set,89
665,Augen-Roll-on,89
666,Wimpernserum,89
667,Augenlidcreme,89
668,Augenserum,89
669,Augenkompressen,89
670,Augenbrauenserum,89
671,Wimpernpflege,89
672,Augenpatches,89
673,Augencreme,89
674,Augenbrauenpflege,89
675,Augenpads,89
676,Augenpflege-Set,89
677,Anti-Aging-Augencreme,89
678,Augenmaske,89
679,Augenfluid,89
680,Augenbalsam,89
681,Kontaktlinsenflüssigkeit,89
682,Augenspray,89
683,Augentropfen,89
684,Flaschenausgießer,90
685,Ölausgießer,90
686,Dekantierausgießer,90
687,Bremsscheiben-Richtwerkzeug,91
688,Schaltaugen-Richtwerkzeug,91
689,Ausstechform,92
690,Gebäckstempel,92
691,Home Sommelier,93
692,Laderaummatte,94
693,Auto-Fußmatte,94
694,Kofferraumwanne,94
695,PVC-Automatten,94
696,Kotflügelschoner,94
697,Kofferraummatte,94
698,Passform-Fußmatten,94
699,Universal-Fußmatten,94
700,Auto-Fußmatten,94
701,Brückenpfeiler,95
702,Looping,95
703,Anschlussschiene,95
704,Gerade,95
705,Brücke,95
706,Positionsanzeige,95
707,Doppelspur,95
708,Boxenstopp,95
709,Kurve,95
710,Track,95
711,Leitplanke,95
712,Sprungschanze,95
713,Rundenzähler,95
714,Rennbahn-Auto,96
715,Autorennbahn,97
716,Autositzauflage,98
717,Autositzschutz,98
718,Kindersitzunterlage,98
719,Auto-Rückenlehnenschutz,98
720,Autositzbezug,98
721,Frontscheibenabdeckung,99
722,Autosonnenschutz,99
