id,group_id,name,type,description,multi_value,relevance,unit
84154,1722,Eigenschaften,STRING,"",t,HIGH,""
84155,1722,Eigenschaften Armlehnen,STRING,"",t,LOW,""
84156,1722,Eigenschaften Sitzfläche,STRING,"",t,LOW,""
84157,1722,Eigenschaften Sitzbrille,STRING,"",t,LOW,""
84158,1722,Eigenschaften Fußstützen,STRING,"",t,MEDIUM,""
84159,1722,Verstellbarkeit Armlehnen,STRING,"",t,LOW,""
84160,1722,Verstellbarkeit Fußstützen,STRING,Bsp.: 42-50,f,LOW,cm
84161,1722,Eignung,STRING,"",t,LOW,""
84162,1722,Anzahl Teile,INTEGER,"Besteht die bestellbare Einheit aus mehr als einem Teil, können Sie hier die Anzahl der Teile angeben.",f,LOW,St.
84163,1722,Serie,STRING,"Produkte mit demselben Eintrag in “Serie” und “Marke”, werden unter ""Mehr aus der Serie"" angezeigt. Des Weiteren wird der Serienname im Filter “Serie” aufgeführt. Wenn es sich nicht um den offiziellen Seriennamen handelt, kann das Merkmal ""Serie Technischer Name"" gepflegt werden, damit die Produkte unter ""Mehr aus der Serie"" angezeigt werden.",f,LOW,""
84164,1722,Modellbezeichnung,STRING,Relevant für EEK,f,LOW,""
84165,1722,Benutzergewicht maximal,FLOAT,"",f,LOW,kg
84166,1722,Pflegehinweise,STRING,Pflegehinweise,t,LOW,""
84167,1722,Sprachen Bedienungs-/Aufbauanleitung,STRING,"Wählen Sie hier aus der Liste der möglichen Sprachen diejenigen aus, in der eine Bedienungs-/Aufbauanleitung vorliegt.",t,LOW,""
84168,1722,Warnhinweise,STRING,"Wählen Sie einen oder mehrere Warnhinweise aus der Liste aus, die in gleicher Form auch am Produkt angebracht sind (häufig bei Spielwaren zu finden).",t,LOW,""
84169,1722,Bedingte Herstellergarantie,STRING,Garantien auf Teilbereiche des Produktes oder unter bestimmten Bedingungen,f,LOW,""
84170,1722,Herstellergarantie Gesamtprodukt,FLOAT,"Gültig für das gesamte Produkt, nicht Teilbereiche oder unter bestimmten Bedingungen",f,LOW,Jahr(e)
84171,1722,Informationen zur Datennutzung (nach EU Data Act),STRING,Hinweis zur Daten Nutzung und Weitergabe an Dritte und Möglichkeit der Einsicht,f,LOW,""
84172,1722,Länge,FLOAT,Länge,f,LOW,cm
84173,1722,Länge ohne Fußstütze,FLOAT,"",f,LOW,cm
84174,1722,Breite,FLOAT,Breite,f,HIGH,cm
84175,1722,Höhe,FLOAT,Höhe,f,HIGH,cm
84176,1722,Sitzhöhe,FLOAT,"",f,LOW,cm
84177,1722,Sitzhöhe mit Abdeckplatte,FLOAT,"",f,LOW,cm
84178,1722,Sitzbreite,FLOAT,"",f,LOW,cm
84179,1722,Sitztiefe,FLOAT,"",f,LOW,cm
84180,1722,Breite zwischen Armlehnen,FLOAT,"",f,LOW,cm
84181,1722,Länge Armlehnen,FLOAT,"",f,LOW,cm
84182,1722,Höhe Armlehnen,FLOAT,"",f,LOW,cm
84183,1722,Höhe Armlehnen maximal,FLOAT,"",f,LOW,cm
84184,1722,Höhe Rückenlehne,FLOAT,"",f,LOW,cm
84185,1722,Höhe zusammengeklappt,FLOAT,"",f,LOW,cm
84186,1722,Breite zusammengeklappt,FLOAT,"",f,LOW,cm
84187,1722,Tiefe zusammengeklappt,FLOAT,"",f,LOW,cm
84188,1722,Durchmesser Lenkrollen,FLOAT,"",f,LOW,cm
84189,1722,Fassungsvermögen Toiletteneimer,FLOAT,"",f,LOW,l
84190,1722,Gewicht,FLOAT,Gewicht,f,LOW,kg
84191,1722,Farbe,STRING,"Wählen Sie einen oder mehrere Vorgabewerte, die am besten die Farben ihrer Produktvariante beschreiben. Beachten Sie, dass Sie ggf. unter dem Merkmal ""Herstellerfarbbezeichnung"" (wenn vorhanden) die Farbbezeichnung angeben können, die Sie verwenden.",f,HIGH,""
84192,1722,Material,STRING,Material,f,HIGH,""
84193,1722,Grundfarbe,STRING,Grundfarbe,f,HIGH,""
84194,1722,Art Montage,STRING,"",f,LOW,""
84195,1722,Lieferumfang,STRING,"",t,LOW,""
84196,1722,Kurzlink Blauer Engel,STRING,"Die Nutzung des BLAUER ENGEL Logos ist nur in Verbindung mit einem Kurzlink zulässig, der die BLAUER ENGEL Internetadresse und die Nummer der Vergabekriterien (UZ-Nummer) anzeigt.",f,LOW,""
84197,1722,Nachhaltigkeitssiegel,STRING,Die Anzeige der Siegel auf Otto.de erfolgt erst nach erfolgreicher Validierung der Zertifizierung. Alle Informationen dazu finden Sie im Helpdesk.,t,LOW,""
84198,1723,Ausstattung,STRING,Ausstattung,t,HIGH,""
84199,1723,Lieferumfang,STRING,Beschreibt den Lieferumfang,t,LOW,""
84200,1723,Modellbezeichnung,STRING,Lieferanten Artikelbezeichnung,f,LOW,""
84201,1723,Höhe,FLOAT,Dimensionbildend,f,HIGH,cm
84202,1723,Breite,FLOAT,Dimensionsbildend,f,HIGH,cm
84203,1723,Tiefe,FLOAT,Dimensionsbildend,f,HIGH,cm
84204,1723,Auflagekraft,INTEGER,"",f,LOW,g
84205,1723,Anzahl Saiten,STRING,"",f,LOW,""
84206,1723,Serie,STRING,"Produkte mit demselben Eintrag in “Serie” und “Marke”, werden unter ""Mehr aus der Serie"" angezeigt. Des Weiteren wird der Serienname im Filter “Serie” aufgeführt. Wenn es sich nicht um den offiziellen Seriennamen handelt, kann das Merkmal ""Serie Technischer Name"" gepflegt werden, damit die Produkte unter ""Mehr aus der Serie"" angezeigt werden.",f,LOW,""
84207,1723,Gewicht,FLOAT,Gewicht,f,LOW,g
84208,1723,Material,STRING,Material,f,HIGH,""
84209,1723,Materialeigenschaften,STRING,"",t,HIGH,""
84210,1723,Warnhinweise,STRING,"Wählen Sie einen oder mehrere Warnhinweise aus der Liste aus, die in gleicher Form auch am Produkt angebracht sind (häufig bei Spielwaren zu finden).",t,LOW,""
84211,1723,Sprachen Bedienungs-/Aufbauanleitung,STRING,"Wählen Sie hier aus der Liste der möglichen Sprachen diejenigen aus, in der eine Bedienungs-/Aufbauanleitung vorliegt.",t,LOW,""
84212,1723,Bedingte Herstellergarantie,STRING,Garantien auf Teilbereiche des Produktes oder unter bestimmten Bedingungen,f,LOW,""
84213,1723,Herstellergarantie Gesamtprodukt,FLOAT,"Gültig für das gesamte Produkt, nicht Teilbereiche oder unter bestimmten Bedingungen",f,LOW,Jahr(e)
84214,1723,Informationen zur Datennutzung (nach EU Data Act),STRING,Hinweis zur Daten Nutzung und Weitergabe an Dritte und Möglichkeit der Einsicht,f,LOW,""
84215,1723,Farbe,STRING,Farbe,f,HIGH,""
84216,1723,Grundfarbe,STRING,Grundfarbe,f,HIGH,""
84217,1723,WEEE-Reg.-Nr. DE,INTEGER,"WEEE (Waste of Electrical and Electronic Equipment) erforderlich bei ElektroG-relevanten Produkten (Gesetz über das Inverkehrbringen, die Rücknahme und die umweltverträgliche Entsorgung von Elektro- und Elektronikgeräten)",f,LOW,""
84218,1723,Anzahl Teile,INTEGER,"Besteht die bestellbare Einheit aus mehr als einem Teil, können Sie hier die Anzahl der Teile angeben.",f,LOW,tlg.
84219,1723,Besondere Merkmale,STRING,Bitte beachten Sie die Zeichenbegrenzung von maximal 70 Zeichen für dieses Merkmal.,f,HIGH,""
84220,1723,Set-Info,STRING,Zur Anzeige in der Kurzbezeichnung. Bitte kurz halten!,f,HIGH,""
84221,1723,Set-Typ,STRING,"Beachten Sie die Unterscheidung von ""Set"" und ""Packung""! Ein Set besteht aus mehreren UNTERSCHIEDLICHEN Produkttypen (z.B. Bezug, Vorleger und Matte), eine Packung besteht aus mehreren GLEICHEN Produkttypen (z.B. 4x Vorleger).",f,LOW,""
84222,1723,Kurzlink Blauer Engel,STRING,"Die Nutzung des BLAUER ENGEL Logos ist nur in Verbindung mit einem Kurzlink zulässig, der die BLAUER ENGEL Internetadresse und die Nummer der Vergabekriterien (UZ-Nummer) anzeigt.",f,LOW,""
84223,1723,Nachhaltigkeitssiegel,STRING,Die Anzeige der Siegel auf Otto.de erfolgt erst nach erfolgreicher Validierung der Zertifizierung. Alle Informationen dazu finden Sie im Helpdesk.,t,LOW,""
84224,1723,Geräteart laut ElektroG,STRING,"ElektroG (Elektro- und Elektronikgerätegesetz): Gesetz über das Inverkehrbringen, die Rücknahme und die umweltverträgliche Entsorgung von Elektro- und Elektronikgeräten",f,LOW,""
84225,1723,Marke laut ElektroG (EAR),STRING,Abweichender Markenname in der EAR-Datenbank,f,LOW,""
84226,1724,Inhalt,FLOAT,"Angabe der Nettofüllmenge. Relevante Information für das Lager, die Paketkennzeichnung und den Transport.",f,LOW,ml
84227,1724,Druckleistung in Seiten,INTEGER,"",f,LOW,""
84228,1724,Kompatible Hersteller,STRING,"Komma-getrennte Liste. Beispiel: ""Garmin, Lenovo, TomTom""",t,HIGH,""
84229,1724,Kompatible Serien,STRING,"",t,HIGH,""
84230,1724,Kompatible Modelle,STRING,"Komma-getrennte Liste. Beispiel: ""Astro, GPS 60, GPSMap 60, GPSMap 60CSx, GPSMap 60Cx, GPSMap 60c, GPSMap 60cs"" oder ""Stahlgerätehäuser »Yokohama«, »Sapporo«, »Nagoya« und »Osaka«""",t,HIGH,""
84231,1724,Größe,STRING,Schnurfassungsvermögen der Rolle,f,LOW,""
84232,1724,Eigenschaften,STRING,"",f,HIGH,""
84233,1724,Druckleistung in Seiten (s/w),INTEGER,"",f,LOW,""
84234,1724,Druckleistung in Seiten (Farbe),INTEGER,"",f,LOW,""
84235,1724,Füllmenge,FLOAT,"",f,LOW,g
84236,1724,Farbe,STRING,Farbe,f,HIGH,""
84237,1724,Grundfarbe,STRING,Grundfarbe,f,HIGH,""
84238,1724,Warnhinweise,STRING,"Wählen Sie einen oder mehrere Warnhinweise aus der Liste aus, die in gleicher Form auch am Produkt angebracht sind (häufig bei Spielwaren zu finden).",t,LOW,""
