id,group_id,attribute_id
884,111,5039
885,111,5040
886,111,5041
887,111,5044
888,111,5045
889,111,5058
890,111,5061
891,111,5062
892,112,5089
893,112,5093
894,112,5110
895,112,5117
896,112,5118
897,112,5123
898,112,5124
899,112,5125
900,112,5126
901,112,5128
902,112,5138
903,113,5151
904,113,5162
905,113,5163
906,113,5164
907,113,5165
908,113,5169
909,113,5193
910,113,5197
911,114,5199
912,114,5201
913,114,5202
914,114,5203
915,114,5214
916,114,5224
917,114,5225
918,114,5254
919,115,5267
920,115,5273
921,115,5275
922,115,5279
923,115,5292
924,115,5296
925,115,5299
926,116,5316
927,116,5318
928,116,5319
929,116,5320
930,116,5322
931,116,5323
932,116,5324
933,116,5325
934,116,5336
935,116,5337
936,117,5354
937,117,5355
938,117,5356
939,117,5358
940,117,5360
941,117,5361
942,117,5367
943,118,5392
944,118,5394
945,118,5425
946,118,5426
947,118,5427
948,119,5459
949,119,5466
950,119,5467
951,119,5468
952,119,5469
953,120,5504
954,120,5508
955,120,5509
956,120,5529
957,120,5530
958,120,5535
959,120,5556
960,121,5565
961,121,5566
962,121,5569
963,121,5577
964,121,5578
965,121,5580
966,121,5581
967,121,5586
968,121,5591
969,122,5605
970,122,5611
971,122,5617
972,122,5629
973,122,5634
974,123,5666
975,123,5667
976,123,5676
977,123,5677
978,123,5680
979,124,5701
980,124,5703
981,124,5705
982,124,5706
983,124,5710
984,124,5714
985,124,5715
986,124,5716
987,124,5719
988,124,5721
989,124,5722
990,124,5723
991,124,5724
992,125,5782
993,125,5785
994,125,5787
995,125,5789
996,125,5792
997,125,5795
998,125,5796
999,125,5797
1000,125,5798
1001,125,5799
1002,125,5802
1003,125,5819
1004,126,5832
1005,126,5833
1006,126,5835
1007,126,5838
1008,126,5839
1009,126,5840
1010,126,5841
1011,126,5842
1012,126,5845
1013,126,5846
1014,126,5847
1015,127,5868
1016,127,5871
1017,127,5872
1018,127,5875
1019,127,5884
1020,127,5885
1021,128,5903
1022,128,5919
1023,128,5922
1024,128,5923
1025,128,5934
1026,128,5939
1027,128,5940
1028,129,5965
1029,129,5966
1030,129,5968
1031,129,5969
1032,129,5970
1033,129,5972
1034,129,5975
1035,129,5976
1036,129,5979
1037,129,5980
1038,129,5993
1039,129,6011
1040,129,6012
1041,130,6023
1042,130,6032
1043,130,6038
1044,130,6039
1045,130,6040
1046,130,6041
1047,130,6045
1048,130,6046
1049,130,6047
1050,131,6058
1051,131,6061
1052,131,6062
1053,131,6063
1054,131,6073
1055,131,6075
1056,131,6085
1057,131,6086
1058,132,6104
1059,132,6105
1060,132,6108
1061,132,6113
1062,132,6114
1063,132,6115
1064,132,6117
1065,132,6132
1066,132,6133
1067,133,6139
1068,133,6140
1069,133,6143
1070,133,6149
1071,133,6150
1072,133,6151
1073,133,6153
1074,134,6169
1075,134,6177
1076,135,6188
1077,135,6194
1078,135,6200
1079,135,6201
1080,135,6202
1081,135,6203
1082,135,6215
1083,135,6216
1084,135,6242
1085,135,6243
1086,136,6247
1087,136,6251
1088,136,6252
1089,136,6254
1090,136,6255
1091,136,6256
1092,136,6280
1093,136,6281
1094,137,6287
1095,137,6292
1096,137,6299
1097,137,6300
1098,137,6301
1099,137,6302
1100,137,6303
1101,137,6305
1102,137,6306
1103,137,6307
1104,137,6310
1105,138,6361
1106,138,6378
1107,138,6379
1108,138,6380
1109,138,6391
1110,138,6411
1111,138,6412
1112,139,6426
1113,139,6427
1114,139,6429
1115,139,6436
1116,139,6437
1117,139,6438
1118,139,6439
1119,139,6440
1120,139,6442
1121,139,6443
1122,140,6462
1123,140,6467
1124,140,6472
1125,140,6473
1126,140,6475
1127,140,6476
1128,140,6477
1129,140,6478
1130,140,6484
1131,141,6489
1132,141,6493
1133,141,6494
1134,141,6498
1135,141,6515
1136,142,6523
1137,142,6524
1138,142,6529
1139,142,6530
1140,142,6544
1141,142,6548
1142,143,6556
1143,143,6565
1144,143,6568
1145,143,6573
1146,143,6575
1147,143,6583
1148,144,6589
1149,144,6590
1150,144,6594
1151,144,6596
1152,144,6597
1153,144,6598
1154,145,6606
1155,145,6611
1156,145,6612
1157,145,6613
1158,145,6614
1159,145,6616
1160,145,6617
1161,145,6625
1162,146,6632
1163,146,6635
1164,146,6636
1165,146,6637
1166,146,6638
1167,146,6640
1168,146,6641
1169,146,6642
1170,146,6643
1171,146,6647
1172,147,6656
1173,147,6659
1174,147,6662
1175,147,6663
1176,147,6667
1177,147,6668
1178,147,6670
1179,147,6671
1180,147,6672
1181,147,6673
1182,147,6688
1183,148,6696
1184,148,6704
1185,148,6711
1186,148,6712
1187,148,6713
